1,亜,亞,二,7,S,,sub-,あ
683,佐,,人,7,4,,help,さ
684,沙,,水,7,S,2010,sand,さ
685,査,,木,9,5,,investigate,さ
686,砂,,石,9,6,,sand,さ
687,唆,,口,10,S,,tempt,サ
688,差,,工,10,4,,distinction,さ
689,詐,,言,12,S,,lie,サ
690,鎖,,金,18,S,,chain,さ
691,座,,广,10,6,,sit,ざ
692,挫,,手,10,S,2010,strain,ザ
693,才,,手,3,2,,genius,さい
694,再,,冂,6,5,,again,さい
695,災,,火,7,5,,disaster,さい
696,妻,,女,8,5,,wife,さい
697,采,,釆,8,S,2010,form,サイ
698,砕,碎,石,9,S,,smash,サイ
699,宰,,宀,10,S,,superintend,サイ
700,栽,,木,10,S,,plantation,サイ
701,彩,,彡,11,S,,coloring,さい
702,採,,手,11,5,,pick,さい
703,済,濟,水,11,6,,settle,さい
704,祭,,示,11,3,,festival,さい
705,斎,齋,齊,11,S,,purification,さい
706,細,,糸,11,2,,thin,さい
707,菜,,艸,11,4,,vegetable,さい
708,最,,曰,12,4,,most,さい
709,裁,,衣,12,6,,judge,さい
710,債,,人,13,S,,bond,さい
711,催,,人,13,S,,sponsor,さい
712,塞,,土,13,S,2010,obstruct,サイ
713,歳,,止,13,S,,year-end,サイ
714,載,,車,13,S,,ride,さい
715,際,,阜,14,5,,occasion,さい
717,在,,土,6,5,,exist,ザイ
717,在,,土,6,5,,exist,ざい
718,材,,木,7,4,,lumber,ざい
720,財,,貝,10,5,,wealth,ザイ
720,財,,貝,10,5,,wealth,ざい
721,罪,,网,13,5,,guilt,ざい
722,崎,,山,11,4,1981,cliff,さき
723,作,,人,7,2,,make,さく
724,削,,刀,9,S,,plane,さく
726,柵,,木,9,S,2010,fence,サク
727,索,,糸,10,S,,cord,サク
727,索,,糸,10,S,,cord,さく
728,策,,竹,12,6,,scheme,さく
730,搾,,手,13,S,,squeeze,サク
731,錯,,金,16,S,,confused,サク
732,咲,,口,9,S,,blossom,さ-く
732,咲,,口,9,S,,blossom,さく
733,冊,,冂,5,6,,counter for books,さつ
734,札,,木,5,4,,tag,さつ
735,刷,,刀,8,4,,printing,さつ
737,拶,,手,9,S,2010,impending,サツ
738,殺,殺,殳,10,5,,kill,サツ
738,殺,殺,殳,10,5,,kill,さつ
739,察,,宀,14,4,,guess,さつ
740,撮,,手,15,S,,snapshot,さつ
742,雑,雜,隹,14,5,,miscellaneous,ザツ
742,雑,雜,隹,14,5,,miscellaneous,ざつ
744,三,,一,3,1,,three,サン
744,三,,一,3,1,,three,さん
745,山,,山,3,1,,mountain,さん
746,参,參,厶,8,4,,participate,さん
748,蚕,蠶,虫,10,6,,silkworm,サン
749,惨,慘,心,11,S,,wretched,サン
750,産,,生,11,4,,give birth,サン
750,産,,生,11,4,,give birth,さん
752,散,,攴,12,4,,scatter,サン
752,散,,攴,12,4,,scatter,さん
753,算,,竹,14,2,,calculate,さん
754,酸,,酉,14,5,,acid,さん
755,賛,贊,貝,15,5,,approve,さん
756,残,殘,歹,10,4,,remainder,ざん
757,斬,,斤,11,S,2010,kill by slicing,ざん
759,士,,士,3,5,,gentleman,シ
759,士,,士,3,5,,gentleman,し
760,子,,子,3,1,,child,し
761,支,,支,4,5,,branch,し
762,止,,止,4,2,,stop,し
763,氏,,氏,4,4,,family name,し
764,仕,,人,5,3,,do,し
765,史,,口,5,5,,history,し
766,司,,口,5,4,,director,し
767,四,,囗,5,1,,four,し
768,市,,巾,5,2,,market,し
769,矢,,矢,5,2,,arrow,し
770,旨,,日,6,S,,delicious,し
771,死,,歹,6,3,,death,し
773,至,,至,6,6,,climax,シ
773,至,,至,6,6,,climax,し
775,志,,心,7,5,,intention,シ
775,志,,心,7,5,,intention,し
776,私,,禾,7,6,,me,し
777,使,,人,8,3,,use,し
778,刺,,刀,8,S,,thorn,し
779,始,,女,8,3,,begin,し
780,姉,,女,8,2,,older sister,し
781,枝,,木,8,5,,branch,し
783,肢,,肉,8,S,1981,limb,シ
784,姿,,女,9,6,,figure,シ
784,姿,,女,9,6,,figure,し
785,思,,心,9,2,,think,し
786,指,,手,9,3,,finger,し
787,施,,方,9,S,,carry out,し
788,師,,巾,10,5,,expert,し
790,紙,,糸,10,2,,paper,シ
790,紙,,糸,10,2,,paper,し
792,視,視,見,11,6,,look at,シ
792,視,視,見,11,6,,look at,し
794,詞,,言,12,6,,poetry,シ
794,詞,,言,12,6,,poetry,し
795,歯,齒,齒,12,3,,tooth,し
797,試,,言,13,4,,test,シ
797,試,,言,13,4,,test,し
798,詩,,言,13,3,,poem,し
799,資,,貝,13,5,,resources,し
801,誌,,言,14,6,,document,シ
801,誌,,言,14,6,,document,し
803,摯,,手,15,S,2010,seriousness,シ
804,賜,,貝,15,S,,grant,シ
805,諮,,言,16,S,,consult with,シ
806,示,,示,5,5,,indicate,ジ
806,示,,示,5,5,,indicate,じ
807,字,,子,6,1,,letter,じ
808,寺,,寸,6,2,,Buddhist temple,じ
809,次,,欠,6,3,,next,じ
811,自,,自,6,2,,oneself,ジ
811,自,,自,6,2,,oneself,じ
812,似,,人,7,5,,becoming,じ
813,児,兒,儿,7,4,,child,じ
814,事,,亅,8,3,,thing,じ
816,治,,水,8,4,,govern,ジ
816,治,,水,8,4,,govern,じ
817,持,,手,9,3,,hold,じ
818,時,,日,10,2,,time,じ
819,滋,,水,12,4,,nourishing,じ
821,辞,辭,辛,13,4,,resign,ジ
821,辞,辭,辛,13,4,,resign,じ
822,磁,,石,14,6,,magnet,じ
824,璽,,玉,19,S,,emperor's seal,ジ
825,鹿,,鹿,11,4,2010,deer,しか、（か）
825,鹿,,鹿,11,4,2010,deer,しか
826,式,,弋,6,3,,style,しき
827,識,,言,19,5,,discriminating,しき
829,七,,一,2,1,,seven,シチ
830,𠮟,,口,5,S,2010,scold,シツ
831,失,,大,5,4,,lose,シツ
831,失,,大,5,4,,lose,しつ
832,室,,宀,9,2,,room,しつ
834,執,,土,11,S,,tenacious,シツ
834,執,,土,11,S,,tenacious,しつ
836,嫉,,女,13,S,2010,envy,シツ
837,漆,,水,14,S,,lacquer,シツ
838,質,,貝,15,5,,quality,シツ
838,質,,貝,15,5,,quality,しつ
839,実,實,宀,8,3,,truth,じつ
840,芝,,艸,6,S,,turf,しば
841,写,寫,宀,5,3,,copy,しゃ
842,社,社,示,7,2,,company,しゃ
843,車,,車,7,1,,car,しゃ
844,舎,舍,舌,8,5,,cottage,しゃ
845,者,者,老,8,3,,someone,しゃ
846,射,,寸,10,6,,shoot,しゃ
848,赦,,赤,11,S,,pardon,シャ
849,斜,,斗,11,S,,diagonal,シャ
849,斜,,斗,11,S,,diagonal,しゃ
851,遮,,辵,14,S,1981,intercept,シャ
852,謝,,言,17,5,,apologize,シャ
852,謝,,言,17,5,,apologize,しゃ
853,邪,,邑,8,S,,wicked,じゃ
855,尺,,尸,4,6,,shaku,シャク
856,借,,人,10,4,,borrow,シャク
856,借,,人,10,4,,borrow,しゃく
858,釈,釋,釆,11,S,,explanation,シャク
858,釈,釋,釆,11,S,,explanation,しゃく
859,爵,,爪,17,S,,baron,しゃく
860,若,,艸,8,6,,young,じゃく
861,弱,,弓,10,2,,weak,じゃく
863,手,,手,4,1,,hand,シュ
863,手,,手,4,1,,hand,しゅ
864,主,,丶,5,3,,master,しゅ
865,守,,宀,6,3,,protect,しゅ
867,取,,又,8,3,,take,シュ
867,取,,又,8,3,,take,しゅ
869,首,,首,9,2,,neck,シュ
869,首,,首,9,2,,neck,しゅ
871,珠,,玉,10,S,,pearl,シュ
872,酒,,酉,10,3,,alcoholic drink,シュ
872,酒,,酉,10,3,,alcoholic drink,しゅ
874,種,,禾,14,4,,kind,シュ
874,種,,禾,14,4,,kind,しゅ
875,趣,,走,15,S,,gist,しゅ
876,寿,壽,士,7,S,,longevity,じゅ
877,受,,又,8,3,,accept,じゅ
879,授,,手,11,5,,instruct,ジュ
879,授,,手,11,5,,instruct,じゅ
881,儒,,人,16,S,,Confucian,ジュ
882,樹,,木,16,6,,trees,ジュ
882,樹,,木,16,6,,trees,じゅ
883,収,收,攴,4,6,,take in,しゅう
885,州,,巛,6,3,,state,シュウ
885,州,,巛,6,3,,state,しゅう
887,秀,,禾,7,S,,excel,シュウ
887,秀,,禾,7,S,,excel,しゅう
888,周,,口,8,4,,circumference,しゅう
889,宗,,宀,8,6,,religion,しゅう
891,秋,,禾,9,2,,autumn,シュウ
891,秋,,禾,9,2,,autumn,しゅう
893,修,,人,10,5,,discipline,シュウ
893,修,,人,10,5,,discipline,しゅう
895,終,,糸,11,3,,end,シュウ
895,終,,糸,11,3,,end,しゅう
897,習,,羽,11,3,,learn,シュウ
897,習,,羽,11,3,,learn,しゅう
898,週,,辵,11,2,,week,しゅう
899,就,,尢,12,6,,concerning,しゅう
900,衆,,血,12,6,,masses,しゅう
901,集,,隹,12,3,,collect,しゅう
903,酬,,酉,13,S,,repay,シュウ
904,醜,,酉,17,S,,ugly,シュウ
905,蹴,,足,19,S,2010,kick,シュウ
906,襲,,衣,22,S,,attack,シュウ
906,襲,,衣,22,S,,attack,しゅう
907,十,,十,2,1,,ten,じゅう
909,充,,儿,6,S,,allot,ジュウ
909,充,,儿,6,S,,allot,じゅう
910,住,,人,7,3,,dwelling,じゅう
911,柔,,木,9,S,,tender,じゅう
912,重,,里,9,3,,heavy,じゅう
913,従,從,彳,10,6,,obey,じゅう
915,銃,,金,14,S,,gun,ジュウ
915,銃,,金,14,S,,gun,じゅう
916,獣,獸,犬,16,S,,animal,じゅう
917,縦,縱,糸,16,6,,vertical,じゅう
919,祝,祝,示,9,4,,celebrate,シュク
919,祝,祝,示,9,4,,celebrate,しゅく
920,宿,,宀,11,3,,inn,しゅく
922,粛,肅,聿,11,S,,solemn,シュク
923,縮,,糸,17,6,,shrink,シュク
923,縮,,糸,17,6,,shrink,しゅく
924,塾,,土,14,S,1981,cram school,じゅく
925,熟,,火,15,6,,ripen,じゅく
926,出,,凵,5,1,,exit,しゅつ
927,述,,辵,8,5,,mention,じゅつ
928,術,,行,11,5,,art,じゅつ
929,俊,,人,9,S,,genius,しゅん
930,春,,日,9,2,,springtime,しゅん
932,旬,,日,6,S,,10-day period,ジュン
932,旬,,日,6,S,,10-day period,じゅん
933,巡,,巛,6,S,,patrol,じゅん
934,盾,,目,9,S,,shield,じゅん
936,殉,,歹,10,S,,martyrdom,ジュン
937,純,,糸,10,6,,genuine,ジュン
937,純,,糸,10,6,,genuine,じゅん
939,順,,頁,12,4,,obey,ジュン
939,順,,頁,12,4,,obey,じゅん
940,準,,水,13,5,,standard,じゅん
942,遵,,辵,15,S,,abide by,ジュン
943,処,處,虍,5,6,,dispose,ショ
943,処,處,虍,5,6,,dispose,しょ
944,初,,刀,7,4,,first,しょ
945,所,,戶,8,3,,place,しょ
946,書,,曰,10,2,,write,しょ
948,暑,暑,日,12,3,,hot,ショ
949,署,署,网,13,6,,government office,ショ
949,署,署,网,13,6,,government office,しょ
950,緒,緖,糸,14,S,,thong,しょ
951,諸,諸,言,15,6,,various,しょ
952,女,,女,3,1,,woman,じょ
953,如,,女,6,S,,likeness,じょ
954,助,,力,7,3,,help,じょ
955,序,,广,7,5,,preface,じょ
956,叙,敍,攴,9,S,,confer,じょ
957,徐,,彳,10,S,,gradually,じょ
958,除,,阜,10,6,,exclude,じょ
959,小,,小,3,1,,small,しょう
961,少,,小,4,2,,few,ショウ
961,少,,小,4,2,,few,しょう
963,匠,,匚,6,S,,artisan,ショウ
963,匠,,匚,6,S,,artisan,しょう
964,床,,广,7,S,,bed,しょう
966,肖,,肉,7,S,,resemblance,ショウ
967,尚,,小,8,S,1981,esteem,ショウ
968,招,,手,8,5,,beckon,ショウ
968,招,,手,8,5,,beckon,しょう
969,承,,手,8,6,,acquiesce,しょう
970,昇,,日,8,S,,rise up,しょう
971,松,,木,8,4,,pine,しょう
972,沼,,水,8,S,,marsh,しょう
973,昭,,日,9,3,,shining,しょう
975,将,將,寸,10,6,,leader,ショウ
975,将,將,寸,10,6,,leader,しょう
976,消,,水,10,3,,extinguish,しょう
977,症,,疒,10,S,,symptoms,しょう
978,祥,祥,示,10,S,,auspicious,しょう
979,称,稱,禾,10,S,,appellation,しょう
980,笑,,竹,10,4,,laugh,しょう
981,唱,,口,11,4,,chant,しょう
982,商,,口,11,3,,sell,しょう
983,渉,涉,水,11,S,,ford,しょう
984,章,,立,11,3,,chapter,しょう
986,訟,,言,11,S,,sue,ショウ
987,勝,,力,12,3,,win,ショウ
987,勝,,力,12,3,,win,しょう
989,晶,,日,12,S,,sparkle,ショウ
989,晶,,日,12,S,,sparkle,しょう
990,焼,燒,火,12,4,,bake,しょう
992,硝,,石,12,S,,nitrate,ショウ
993,粧,,米,12,S,,cosmetics,ショウ
994,詔,,言,12,S,,imperial edict,ショウ
995,証,證,言,12,5,,evidence,ショウ
995,証,證,言,12,5,,evidence,しょう
996,象,,豕,12,5,,elephant,しょう
997,傷,,人,13,6,,wound,しょう
998,奨,奬,大,13,S,,exhort,しょう
999,照,,火,13,4,,illuminate,しょう
1000,詳,,言,13,S,,detailed,しょう
1001,彰,,彡,14,S,,patent,しょう
1002,障,,阜,14,6,,hurt,しょう
1004,衝,,行,15,S,,collide,ショウ
1004,衝,,行,15,S,,collide,しょう
1005,賞,,貝,15,5,,prize,しょう
1006,償,,人,17,S,,reparation,しょう
1008,鐘,,金,20,S,,bell,ショウ
1009,上,,一,3,1,,up,ジョウ
1009,上,,一,3,1,,up,じょう
1010,丈,,一,3,S,,length,じょう
1012,条,條,木,7,5,,clause,ジョウ
1012,条,條,木,7,5,,clause,じょう
1013,状,狀,犬,7,5,,form,じょう
1014,乗,乘,丿,9,3,,ride,じょう
1015,城,,土,9,4,,castle,じょう
1017,剰,剩,刀,11,S,,surplus,ジョウ
1018,常,,巾,11,5,,normal,ジョウ
1018,常,,巾,11,5,,normal,じょう
1019,情,,心,11,5,,feelings,じょう
1020,場,,土,12,2,,place,じょう
1022,蒸,,艸,13,6,,steam,ジョウ
1023,縄,繩,糸,15,4,1981,straw rope,ジョウ
1023,縄,繩,糸,15,4,1981,straw rope,じょう
1025,嬢,孃,女,16,S,,lass,ジョウ
1026,錠,,金,16,S,,lock,ジョウ
1027,譲,讓,言,20,S,,defer,ジョウ
1027,譲,讓,言,20,S,,defer,じょう
1029,色,,色,6,2,,color,ショク
1029,色,,色,6,2,,color,しき
1031,食,,食,9,2,,eat,ショク
1031,食,,食,9,2,,eat,しょく
1032,植,,木,12,3,,plant,しょく
1034,飾,,食,13,S,,decorate,ショク
1034,飾,,食,13,S,,decorate,しょく
1035,触,觸,角,13,S,,contact,しょく
1037,織,,糸,18,5,,weave,ショク
1037,織,,糸,18,5,,weave,しょく
1038,職,,耳,18,5,,employment,しょく
1040,尻,,尸,5,S,2010,buttocks,しり
1041,心,,心,4,2,,heart,シン
1041,心,,心,4,2,,heart,しん
1042,申,,田,5,3,,say,しん
1043,伸,,人,7,S,,lengthen,しん
1044,臣,,臣,7,4,,retainer,しん
1046,身,,身,7,3,,body,シン
1046,身,,身,7,3,,body,しん
1048,侵,,人,9,S,,encroach,シン
1048,侵,,人,9,S,,encroach,しん
1049,信,,人,9,4,,trust,しん
1050,津,,水,9,S,,haven,しん
1051,神,神,示,9,3,,god,しん
1053,娠,,女,10,S,,with child,シン
1054,振,,手,10,S,,shake,シン
1054,振,,手,10,S,,shake,しん
1056,真,眞,目,10,3,,true,シン
1056,真,眞,目,10,3,,true,しん
1057,針,,金,10,6,,needle,しん
1058,深,,水,11,3,,deep,しん
1060,進,,辵,11,3,,advance,シン
1060,進,,辵,11,3,,advance,しん
1061,森,,木,12,1,,forest,しん
1062,診,,言,12,S,,checkup,しん
1063,寝,寢,宀,13,S,,lie down,しん
1064,慎,愼,心,13,S,,humility,しん
1065,新,,斤,13,2,,new,しん
1066,審,,宀,15,S,,examine,しん
1067,震,,雨,15,S,,quake,しん
1069,親,,見,16,2,,parent,シン
1069,親,,見,16,2,,parent,しん
1070,人,,人,2,1,,person,じん
1072,仁,,人,4,6,,humanity,ジン
1072,仁,,人,4,6,,humanity,じん
1074,迅,,辵,6,S,,swift,ジン
1075,甚,,甘,9,S,1981,tremendously,ジン
1076,陣,,阜,10,S,,camp,ジン
1076,陣,,阜,10,S,,camp,じん
1077,尋,,寸,12,S,,inquire,じん
1079,須,,頁,12,S,2010,by all means,ス
1079,須,,頁,12,S,2010,by all means,す
1080,図,圖,囗,7,2,,diagram,ず
1081,水,,水,4,1,,water,すい
1082,吹,,口,7,S,,blow,すい
1084,炊,,火,8,S,,cook,スイ
1085,帥,,巾,9,S,,commander,スイ
1086,粋,粹,米,10,S,,chic,スイ
1087,衰,,衣,10,S,,decline,スイ
1088,推,,手,11,6,,infer,スイ
1088,推,,手,11,6,,infer,すい
1090,遂,,辵,12,S,,consummate,スイ
1091,睡,,目,13,S,,drowsy,スイ
1092,穂,穗,禾,15,S,,ear,スイ
1092,穂,穗,禾,15,S,,ear,すい
1093,随,隨,阜,12,S,,follow,ずい
1095,枢,樞,木,8,S,,hinge,スウ
1096,崇,,山,11,S,,adore,スウ
1097,数,數,攴,13,2,,number,スウ
1097,数,數,攴,13,2,,number,すう
1099,杉,,木,7,S,1981,cedar,すぎ
1099,杉,,木,7,S,1981,cedar,すぎ
1101,寸,,寸,3,6,,measurement,スン
1102,瀬,瀨,水,19,S,,rapids,せ
1102,瀬,瀨,水,19,S,,rapids,せ
1103,是,,日,9,S,,just so,ぜ
1104,井,,二,4,4,,well,せい
1105,世,,一,5,3,,world,せ
1106,正,,止,5,1,,correct,せい
1107,生,,生,5,1,,life,せい
1108,成,,戈,6,4,,become,せい
1109,西,,襾,6,2,,west,せい
1110,声,聲,耳,7,2,,voice,せい
1111,制,,刀,8,5,,control,せい
1112,姓,,女,8,S,,surname,せい
1113,征,,彳,8,S,,subjugate,せい
1114,性,,心,8,5,,gender,せい
1115,青,,靑,8,1,,blue,せい
1116,斉,齊,齊,8,S,1981,adjusted,せい
1117,政,,攴,9,5,,politics,せい
1118,星,,日,9,2,,star,せい
1120,省,,目,9,4,,government ministry,セイ
1120,省,,目,9,4,,government ministry,せい
1122,逝,,辵,10,S,1981,departed,セイ
1123,清,,水,11,4,,pure,セイ
1123,清,,水,11,4,,pure,せい
1124,盛,,皿,11,6,,prosper,せい
1126,晴,,日,12,2,,clear up,セイ
1126,晴,,日,12,2,,clear up,せい
1127,勢,,力,13,5,,power,せい
1128,聖,,耳,13,6,,holy,せい
1129,誠,,言,13,6,,sincerity,せい
1130,精,,米,14,5,,refined,せい
1131,製,,衣,14,5,,manufacture,せい
1133,静,靜,靑,14,4,,quiet,セイ
1133,静,靜,靑,14,4,,quiet,せい
1134,請,,言,15,S,,solicit,せい
1135,整,,攴,16,3,,put in order,せい
1137,税,,禾,12,5,,tax,ゼイ
1138,夕,,夕,3,1,,evening,セキ
1138,夕,,夕,3,1,,evening,ゆう
1140,石,,石,5,1,,stone,セキ
1140,石,,石,5,1,,stone,せき
1141,赤,,赤,7,1,,red,せき
1143,析,,木,8,S,,chop,セキ
1143,析,,木,8,S,,chop,せき
1144,席,,巾,10,4,,seat,せき
1146,隻,,隹,10,S,,vessels,セキ
1147,惜,,心,11,S,,pity,セキ
1148,戚,,戈,11,S,2010,grieve,セキ
1149,責,,貝,11,5,,blame,セキ
1150,跡,,足,13,S,,tracks,セキ
1150,跡,,足,13,S,,tracks,せき
1151,積,,禾,16,4,,accumulate,せき
1152,績,,糸,17,5,,exploits,せき
1153,籍,,竹,20,S,,enroll,せき
1154,切,,刀,4,2,,cut,せつ
1155,折,,手,7,4,,fold,せつ
1157,窃,竊,穴,9,S,,stealth,セツ
1158,接,,手,11,5,,contact,セツ
1158,接,,手,11,5,,contact,せつ
1159,設,,言,11,5,,establish,せつ
1161,摂,攝,手,13,S,,vicarious,セツ
1161,摂,攝,手,13,S,,vicarious,せつ
1162,節,節,竹,13,4,,node,せつ
1163,説,,言,14,4,,theory,せつ
1165,絶,絕,糸,12,5,,discontinue,ゼツ
1165,絶,絕,糸,12,5,,discontinue,ぜつ
1166,千,,十,3,1,,thousand,せん
1167,川,,巛,3,1,,river,せん
1168,仙,,人,5,S,1981,hermit,せん
1169,占,,卜,5,S,,fortune telling,せん
1170,先,,儿,6,1,,previous,せん
1171,宣,,宀,9,6,,proclaim,せん
1172,専,專,寸,9,6,,specialty,せん
1173,泉,,水,9,6,,spring,せん
1174,浅,淺,水,9,4,,shallow,せん
1176,染,,木,9,6,,dye,セン
1176,染,,木,9,6,,dye,せん
1178,栓,,木,10,S,1981,plug,セン
1179,旋,,方,11,S,,rotation,セン
1179,旋,,方,11,S,,rotation,せん
1180,船,,舟,11,2,,boat,せん
1181,戦,戰,戈,13,4,,war,せん
1183,羨,,羊,13,S,2010,envy,セン
1184,腺,,肉,13,S,2010,gland,セン
1185,詮,,言,13,S,2010,discussion,セン
1186,践,踐,足,13,S,,tread,セン
1187,箋,,竹,14,S,2010,paper,セン
1188,銭,錢,金,14,6,,coin,セン
1188,銭,錢,金,14,6,,coin,せん
1189,潜,潛,水,15,S,,submerge,せん
1190,線,,糸,15,2,,line,せん
1192,選,,辵,15,4,,choose,セン
1192,選,,辵,15,4,,choose,せん
1194,繊,纖,糸,17,S,,slender,セン
1195,鮮,,魚,17,S,,fresh,セン
1195,鮮,,魚,17,S,,fresh,せん
1196,全,,入,6,3,,whole,ぜん
1197,前,,刀,9,2,,in front,ぜん
1198,善,,口,12,6,,good,ぜん
1199,然,,火,12,4,,so,ぜん
1201,漸,,水,14,S,,steadily,ゼン
1202,膳,,肉,16,S,2010,tray,ゼン
1203,繕,,糸,18,S,,darning,ゼン
1204,狙,,犬,8,S,2010,aim at,ソ
1204,狙,,犬,8,S,2010,aim at,そ
1205,阻,,阜,8,S,,thwart,そ
1206,祖,祖,示,9,5,,ancestor,そ
1208,素,,糸,10,5,,elementary,ソ
1208,素,,糸,10,5,,elementary,そ
1210,粗,,米,11,S,,coarse,ソ
1211,組,,糸,11,2,,association,ソ
1211,組,,糸,11,2,,association,そ
1213,訴,,言,12,S,,sue,ソ
1213,訴,,言,12,S,,sue,そ
1215,遡,,辵,14,S,2010,go upstream,ソ
1216,礎,,石,18,S,,cornerstone,ソ
1217,双,雙,隹,4,S,,pair,ソウ
1217,双,雙,隹,4,S,,pair,そう
1219,早,,日,6,1,,early,ソウ
1219,早,,日,6,1,,early,そう
1220,争,爭,爪,6,4,,conflict,そう
1221,走,,走,7,2,,run,そう
1222,奏,,大,9,6,,play music,そう
1223,相,,目,9,3,,mutual,そう
1225,草,,艸,9,1,,grass,ソウ
1225,草,,艸,9,1,,grass,そう
1226,送,,辵,9,3,,send,そう
1227,倉,,人,10,4,,warehouse,そう
1228,捜,搜,手,10,S,,search,そう
1229,挿,插,手,10,S,1981,insert,そう
1230,桑,,木,10,S,,mulberry,そう
1232,掃,,手,11,S,,sweep,ソウ
1233,曹,,曰,11,S,1981,cadet,ソウ
1234,曽,曾,曰,11,S,2010,formerly,ソウ
1235,爽,,爻,11,S,2010,refreshing,ソウ
1236,窓,,穴,11,6,,window,ソウ
1236,窓,,穴,11,6,,window,そう
1237,創,,刀,12,6,,create,そう
1239,痩,瘦,疒,12,S,2010,get thin,ソウ
1240,葬,,艸,12,S,,interment,ソウ
1240,葬,,艸,12,S,,interment,そう
1241,装,裝,衣,12,6,,attire,そう
1243,想,,心,13,3,,concept,ソウ
1243,想,,心,13,3,,concept,そう
1244,層,層,尸,14,6,,stratum,そう
1245,総,總,糸,14,5,,whole,そう
1247,槽,,木,15,S,1981,vat,ソウ
1248,踪,,足,15,S,2010,remains,ソウ
1249,操,,手,16,6,,maneuver,ソウ
1249,操,,手,16,6,,maneuver,そう
1251,霜,,雨,17,S,,frost,ソウ
1252,騒,騷,馬,18,S,,boisterous,ソウ
1253,藻,,艸,19,S,1981,seaweed,ソウ
1254,造,,辵,10,5,,create,ゾウ
1254,造,,辵,10,5,,create,ぞう
1255,像,,人,14,5,,statue,ぞう
1256,増,增,土,14,5,,increase,ぞう
1258,蔵,藏,艸,15,6,,warehouse,ゾウ
1258,蔵,藏,艸,15,6,,warehouse,ぞう
1259,贈,贈,貝,18,S,,presents,ぞう
1261,即,卽,卩,7,S,,instant,ソク
1261,即,卽,卩,7,S,,instant,そく
1262,束,,木,7,4,,bundle,そく
1263,足,,足,7,1,,foot,そく
1265,則,,刀,9,5,,rule,ソク
1265,則,,刀,9,5,,rule,そく
1266,息,,心,10,3,,breath,そく
1268,速,,辵,10,3,,fast,ソク
1268,速,,辵,10,3,,fast,そく
1269,側,,人,11,4,,side,そく
1270,測,,水,12,5,,fathom,そく
1271,俗,,人,9,S,,vulgar,ぞく
1272,族,,方,11,3,,tribe,ぞく
1273,属,屬,尸,12,5,,belong,ぞく
1275,続,續,糸,13,4,,continue,ゾク
1275,続,續,糸,13,4,,continue,ぞく
1276,卒,,十,8,4,,graduate,そつ
1277,率,,玄,11,5,,rate,そつ
1278,存,,子,6,6,,suppose,そん
1279,村,,木,7,1,,village,そん
1280,孫,,子,10,4,,grandchild,そん
1281,尊,,寸,12,6,,revered,そん
1282,損,,手,13,5,,loss,そん
1284,他,,人,5,3,,other,タ
1284,他,,人,5,3,,other,た
1285,多,,夕,6,2,,many,た
1287,打,,手,5,3,,hit,ダ
1287,打,,手,5,3,,hit,だ
1289,唾,,口,11,S,2010,saliva,ダ
1290,堕,墮,土,12,S,,degenerate,ダ
1291,惰,,心,12,S,,lazy,ダ
1292,駄,,馬,14,S,1981,burdensome,ダ
1293,太,,大,4,2,,thick,タイ
1293,太,,大,4,2,,thick,たい
1294,対,對,寸,7,3,,opposite,たい
1295,体,體,骨,7,2,,body,たい
1296,耐,,而,9,S,,resistant,たい
1297,待,,彳,9,3,,wait,たい
1299,胎,,肉,9,S,,womb,タイ
1300,退,,辵,9,6,,retreat,タイ
1300,退,,辵,9,6,,retreat,たい
1301,帯,帶,巾,10,4,,sash,たい
1303,堆,,土,11,S,2010,piled high,タイ
1304,袋,,衣,11,S,,sack,タイ
1304,袋,,衣,11,S,,sack,たい
1306,替,,曰,12,S,,exchange,タイ
1306,替,,曰,12,S,,exchange,たい
1308,隊,,阜,12,4,,group,タイ
1308,隊,,阜,12,4,,group,たい
1310,態,,心,14,5,,condition,タイ
1310,態,,心,14,5,,condition,たい
1312,大,,大,3,1,,large,ダイ
1312,大,,大,3,1,,large,だいだい
1313,代,,人,5,3,,substitute,だい
1314,台,臺,至,5,2,,pedestal,だい
1315,第,,竹,11,3,,ordinal number prefix,だい
1316,題,,頁,18,3,,topic,だい
1317,滝,瀧,水,13,S,,waterfall,たき
1318,宅,,宀,6,6,,home,たく
1319,択,擇,手,7,S,,choose,たく
1320,沢,澤,水,7,S,,swamp,たく
1321,卓,,十,8,S,,eminent,たく
1322,拓,,手,8,S,,clear,たく
1323,託,,言,10,S,,consign,たく
1325,諾,,言,15,S,,consent,ダク
1326,濁,,水,16,S,,voiced,ダク
1327,但,,人,7,S,,however,ただ-し
1328,達,,辵,12,4,,attain,タツ
1328,達,,辵,12,4,,attain,たつ
1329,脱,,肉,11,S,,undress,だつ
1330,奪,,大,14,S,,rob,だつ
1332,誰,,言,15,S,2010,who,だれ
1332,誰,,言,15,S,2010,who,だれ
1333,丹,,丶,4,S,,cinnabar,たん
1335,担,擔,手,8,6,,shouldering,タン
1335,担,擔,手,8,6,,shouldering,たん
1336,単,單,口,9,4,,simple,たん
1337,炭,,火,9,3,,charcoal,たん
1339,探,,手,11,6,,grope,タン
1339,探,,手,11,6,,grope,たん
1341,短,,矢,12,3,,short,タン
1341,短,,矢,12,3,,short,たん
1343,端,,立,14,S,,edge,タン
1343,端,,立,14,S,,edge,たん
1345,誕,,言,15,6,,nativity,タン
